SalesOrderNumber,OrderDate,ProductKey,CustomerKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductCost,SalesAmount,TaxAmt,Freight
SO43726,08/07/2016,332,14560,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43727,08/07/2016,311,16607,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43732,09/07/2016,350,11025,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43729,09/07/2016,346,11238,10,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43731,09/07/2016,314,16629,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43730,09/07/2016,346,25861,4,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43733,09/07/2016,312,27577,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43728,09/07/2016,313,27666,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43736,10/07/2016,346,11002,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43735,10/07/2016,310,16522,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43734,10/07/2016,312,27604,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43738,11/07/2016,312,11606,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43737,11/07/2016,311,13261,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43739,11/07/2016,310,13563,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43740,11/07/2016,312,16527,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43743,12/07/2016,347,11007,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43742,12/07/2016,314,13576,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43744,12/07/2016,313,16631,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43741,12/07/2016,310,27671,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43745,13/07/2016,311,16514,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43746,13/07/2016,312,16616,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43750,14/07/2016,311,11591,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43751,14/07/2016,313,11592,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43752,14/07/2016,311,13265,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43753,14/07/2016,310,16482,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43747,14/07/2016,314,27623,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43748,14/07/2016,313,27625,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43749,14/07/2016,314,27636,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43757,15/07/2016,350,11017,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43756,15/07/2016,332,19941,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43754,15/07/2016,312,27617,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43755,15/07/2016,311,27670,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43759,16/07/2016,310,13257,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43760,16/07/2016,314,16352,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43761,16/07/2016,310,16493,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43758,16/07/2016,310,27646,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43765,17/07/2016,346,11010,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43763,17/07/2016,313,16525,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43764,17/07/2016,310,16612,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43762,17/07/2016,314,27578,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43767,18/07/2016,350,11001,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43766,18/07/2016,313,16518,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43775,19/07/2016,347,11027,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43771,19/07/2016,330,14559,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43774,19/07/2016,313,16348,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43772,19/07/2016,312,16524,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43773,19/07/2016,314,16526,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43769,19/07/2016,312,21659,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43770,19/07/2016,312,27614,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43768,19/07/2016,312,27649,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43778,20/07/2016,345,11018,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43776,20/07/2016,314,13260,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43777,20/07/2016,311,16515,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43779,20/07/2016,326,25252,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43780,21/07/2016,311,11599,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43781,21/07/2016,312,16495,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43782,21/07/2016,312,16516,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43783,21/07/2016,312,16620,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43793,22/07/2016,344,11000,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43794,22/07/2016,347,11029,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43788,22/07/2016,351,11239,10,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43785,22/07/2016,311,11601,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43786,22/07/2016,311,11607,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43791,22/07/2016,314,16484,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43792,22/07/2016,312,16623,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43790,22/07/2016,344,25857,1,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43789,22/07/2016,351,25865,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43784,22/07/2016,310,27667,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43787,22/07/2016,344,29385,8,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43797,23/07/2016,312,16345,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43798,23/07/2016,310,16521,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43799,23/07/2016,312,16636,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43796,23/07/2016,342,17956,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43795,23/07/2016,312,27615,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43802,24/07/2016,312,11593,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43801,24/07/2016,311,13583,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43800,24/07/2016,311,21710,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43804,25/07/2016,310,13585,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43805,25/07/2016,328,14510,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43806,25/07/2016,312,16523,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43803,25/07/2016,314,21741,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43810,26/07/2016,345,11004,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43811,26/07/2016,346,11026,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43807,26/07/2016,312,11611,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43808,26/07/2016,313,13259,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43809,26/07/2016,310,16350,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43819,27/07/2016,346,11006,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43815,27/07/2016,311,16494,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43816,27/07/2016,314,16496,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43817,27/07/2016,310,16519,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43818,27/07/2016,312,16528,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43814,27/07/2016,350,25866,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43812,27/07/2016,312,27662,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43813,27/07/2016,350,28390,7,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43826,28/07/2016,348,11008,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43824,28/07/2016,338,14558,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43825,28/07/2016,313,16349,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43823,28/07/2016,342,19942,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43827,28/07/2016,338,25250,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43820,28/07/2016,312,27651,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43821,28/07/2016,310,27663,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43822,28/07/2016,313,27669,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43831,29/07/2016,349,11028,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43832,29/07/2016,310,13584,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43830,29/07/2016,311,16347,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43828,29/07/2016,310,27605,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43829,29/07/2016,310,27611,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43837,30/07/2016,350,11009,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43835,30/07/2016,348,19802,6,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43833,30/07/2016,310,21727,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43836,30/07/2016,324,26620,6,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43834,30/07/2016,348,28393,7,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43841,31/07/2016,314,13406,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43842,31/07/2016,312,16630,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43840,31/07/2016,326,17957,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43838,31/07/2016,313,27641,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43839,31/07/2016,311,27673,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43919,01/08/2016,314,12124,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43922,01/08/2016,310,13546,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43921,01/08/2016,313,16743,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43918,01/08/2016,313,22041,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43920,01/08/2016,313,28066,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43924,02/08/2016,310,12132,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43925,02/08/2016,314,16661,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43923,02/08/2016,312,28018,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43926,03/08/2016,351,11055,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43927,03/08/2016,314,16662,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43928,03/08/2016,313,16740,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43929,03/08/2016,322,25270,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43933,04/08/2016,347,11031,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43934,04/08/2016,346,11034,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43931,04/08/2016,313,13548,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43932,04/08/2016,314,16741,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43930,04/08/2016,312,28038,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43939,05/08/2016,312,16659,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43938,05/08/2016,310,16686,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43937,05/08/2016,312,17047,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43935,05/08/2016,334,20048,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43940,05/08/2016,336,25294,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43936,05/08/2016,311,28065,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43948,06/08/2016,345,11047,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43944,06/08/2016,344,11054,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43941,06/08/2016,314,13600,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43943,06/08/2016,338,14565,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43945,06/08/2016,310,16675,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43946,06/08/2016,313,16687,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43947,06/08/2016,310,16712,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43942,06/08/2016,310,17051,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43952,07/08/2016,312,16639,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43951,07/08/2016,311,16696,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43949,07/08/2016,310,27726,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43950,07/08/2016,311,28014,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43956,08/08/2016,344,11030,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43954,08/08/2016,311,13602,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43955,08/08/2016,314,13661,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43953,08/08/2016,342,20049,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43959,09/08/2016,348,11035,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43960,09/08/2016,349,11046,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43958,09/08/2016,312,16658,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43957,09/08/2016,313,28068,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43965,10/08/2016,351,11038,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43966,10/08/2016,347,11039,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43963,10/08/2016,314,16685,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43964,10/08/2016,312,16745,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43961,10/08/2016,311,28031,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43962,10/08/2016,312,28076,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43971,11/08/2016,314,16657,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43970,11/08/2016,311,16684,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43967,11/08/2016,313,28040,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43968,11/08/2016,313,28067,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43969,11/08/2016,310,28071,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43975,12/08/2016,312,13540,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43974,12/08/2016,312,13687,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43977,12/08/2016,312,16703,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43972,12/08/2016,314,21939,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43973,12/08/2016,312,28039,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43976,12/08/2016,310,28063,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43980,13/08/2016,351,11048,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43979,13/08/2016,322,14576,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43981,13/08/2016,314,16664,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43982,13/08/2016,342,25271,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43978,13/08/2016,310,28030,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43985,14/08/2016,313,13515,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43984,14/08/2016,311,13545,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43983,14/08/2016,314,28017,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43986,14/08/2016,310,28070,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43988,15/08/2016,344,11244,10,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43992,15/08/2016,311,16638,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43991,15/08/2016,310,16660,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43990,15/08/2016,344,25872,1,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43987,15/08/2016,310,28042,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43989,15/08/2016,312,28083,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43993,17/08/2016,314,16929,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43998,18/08/2016,348,11033,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43995,18/08/2016,312,21813,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43994,18/08/2016,314,27681,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43996,18/08/2016,310,27920,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43997,18/08/2016,310,28022,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43999,18/08/2016,311,28047,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44002,19/08/2016,336,14572,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44006,19/08/2016,310,16744,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44003,19/08/2016,342,19325,8,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44007,19/08/2016,320,25555,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44005,19/08/2016,334,26629,6,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44000,19/08/2016,311,27918,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44001,19/08/2016,313,28044,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44004,19/08/2016,310,28061,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44012,20/08/2016,349,11052,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44011,20/08/2016,310,13514,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44010,20/08/2016,310,13680,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44013,20/08/2016,312,16928,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44008,20/08/2016,312,27678,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44009,20/08/2016,314,27759,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44021,21/08/2016,348,11032,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44016,21/08/2016,350,11247,10,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44015,21/08/2016,311,13693,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44019,21/08/2016,310,16701,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44020,21/08/2016,311,16931,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44018,21/08/2016,350,25876,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44014,21/08/2016,313,27917,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44017,21/08/2016,310,28078,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44024,22/08/2016,314,16663,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44025,22/08/2016,314,16708,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44026,22/08/2016,310,17045,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44023,22/08/2016,349,19830,6,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44022,22/08/2016,313,22008,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44029,23/08/2016,350,11050,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44028,23/08/2016,312,17048,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44027,23/08/2016,310,21921,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44032,24/08/2016,344,11243,10,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO44030,24/08/2016,311,12131,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44031,24/08/2016,313,13689,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44033,24/08/2016,314,16693,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44034,24/08/2016,313,16702,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44035,24/08/2016,312,16707,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44036,24/08/2016,310,17046,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44037,24/08/2016,328,25272,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44038,24/08/2016,344,25868,4,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO44040,25/08/2016,351,11057,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44041,25/08/2016,313,16742,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44039,25/08/2016,342,17971,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44042,26/08/2016,313,13678,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44043,26/08/2016,311,13679,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44044,26/08/2016,314,13690,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44048,26/08/2016,314,16713,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44047,26/08/2016,344,25878,4,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO44046,26/08/2016,313,28064,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44045,26/08/2016,344,28394,7,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO44049,27/08/2016,314,13538,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44050,27/08/2016,310,17050,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44051,28/08/2016,310,13691,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44052,28/08/2016,314,16637,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44058,29/08/2016,350,11056,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO44054,29/08/2016,314,13542,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44055,29/08/2016,310,13543,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44056,29/08/2016,314,13559,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44057,29/08/2016,338,14577,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44059,29/08/2016,313,16688,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44053,29/08/2016,338,19329,8,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44060,29/08/2016,342,25273,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO44063,30/08/2016,344,11240,10,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO44067,30/08/2016,310,17049,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44064,30/08/2016,310,22050,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44066,30/08/2016,344,25867,4,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO44061,30/08/2016,310,27919,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO44062,30/08/2016,310,28041,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
